债券ID,申万一级行业,申万二级行业,债券全称,债券简称,发行主体
122342.SH,钢铁,钢铁Ⅱ,内蒙古包钢钢联股份有限公司2013年公司债券(第二期),13包钢03,内蒙古包钢钢联股份有限公司
101461002.IB,有色金属,工业金属,河南神火煤电股份有限公司2014年度第一期中期票据,14神火MTN001,河南神火煤电股份有限公司
1282152.IB,商业贸易,专业零售,中国船舶燃料有限责任公司2012年度第一期中期票据,12中船燃MTN1,中国船舶燃料有限责任公司
122487.SH,化工,化学制品,湖南盈德气体有限公司2015年公司债券,15盈德债,湖南盈德气体有限公司
031490631.IB,食品饮料,食品加工,杨凌本香农业产业集团有限公司2014年度第一期非公开定向可转债务融资工具(品种一),14杨凌本香PPN001A,杨凌本香农业产业集团有限公司
112095.SZ,家用电器,白色家电,浙江康盛股份有限公司2012年公司债券,12康盛债,浙江康盛股份有限公司
122381.SH,采掘,煤炭开采,安源煤业集团股份有限公司2014年公司债券,14安源债,安源煤业集团股份有限公司
122115.SH,电气设备,电源设备,华锐风电科技(集团)股份有限公司2011年公司债券(第一期)(5NP3品种),11华锐01,华锐风电科技(集团)股份有限公司
112145.SZ,电气设备,电气自动化设备,2013年荣信电力电子股份有限公司公司债券(第一期),13荣信01,梦网荣信科技集团股份有限公司
122067.SH,钢铁,钢铁Ⅱ,南京钢铁股份有限公司2011年公司债券,11南钢债,南京钢铁股份有限公司
101564001.IB,农林牧渔,种植业,甘肃省敦煌种业股份有限公司2015年度第一期中期票据,15敦煌种业MTN001,甘肃省敦煌种业股份有限公司
112163.SZ,食品饮料,饮料制造,黑牛食品股份有限公司2012年公司债券(第一期),12黑牛01,黑牛食品股份有限公司
041560092.IB,化工,化学制品,柳州两面针股份有限公司2015年度第一期短期融资券,15两面针CP001,柳州两面针股份有限公司
041559070.IB,化工,化学制品,三江化工有限公司2015年度第一期短期融资券,15三江化工CP001,三江化工有限公司
011699171.IB,建筑材料,水泥制造,唐山冀东水泥股份有限公司2016年度第一期超短期融资券,16冀东水泥SCP001,唐山冀东水泥股份有限公司
101455003.IB,采掘,其他采掘,新疆新鑫矿业股份有限公司2014年度第一期中期票据,14新鑫MTN001,新疆新鑫矿业股份有限公司
011699165.IB,化工,化学制品,云天化集团有限责任公司2016年度第一期超短期融资券,16云天化SCP001,云天化集团有限责任公司
041653018.IB,农林牧渔,农产品加工,中粮屯河股份有限公司2016年度第一期短期融资券,16中粮屯河CP001,中粮屯河股份有限公司
112046.SZ,纺织服装,纺织制造,华孚色纺股份有限公司2011年公司债券(第一期),11华孚01,华孚色纺股份有限公司
031490951.IB,休闲服务,酒店,华天酒店集团股份有限公司2014年度第一期非公开定向债务融资工具,14华天酒店PPN001,华天酒店集团股份有限公司
011699822.IB,综合,综合Ⅱ,青海省投资集团有限公司2016年度第一期超短期融资券,16青投SCP001,青海省投资集团有限公司
112109.SZ,农林牧渔,农产品加工,南宁糖业股份有限公司2012年公司债券,12南糖债,南宁糖业股份有限公司
031564162.IB,公用事业,环保工程及服务,安徽盛运环保(集团)股份有限公司2015年度第二期非公开定向债务融资工具,15盛运环保PPN002,安徽盛运环保(集团)股份有限公司
122235.SH,交通运输,物流,芜湖港储运股份有限公司2012年公司债券,12芜湖港,安徽皖江物流(集团)股份有限公司
041554063.IB,钢铁,钢铁Ⅱ,鞍钢股份有限公司2015年度第一期短期融资券,15鞍钢股CP001,鞍钢股份有限公司
112036.SZ,钢铁,钢铁Ⅱ,福建三钢闽光股份有限公司2011年公司债券(第一期),11三钢01,福建三钢闽光股份有限公司
122201.SH,采掘,煤炭开采,开滦能源化工股份有限公司2012年公司债券(第一期),12开滦01,开滦能源化工股份有限公司
122087.SH,钢铁,钢铁Ⅱ,凌源钢铁股份有限公司2011年公司债券,11凌钢债,凌源钢铁股份有限公司
041673005.IB,钢铁,钢铁Ⅱ,马鞍山钢铁股份有限公司2016年度第一期短期融资券,16马鞍钢铁CP001,马鞍山钢铁股份有限公司
136016.SH,化工,橡胶,赛轮金宇集团股份有限公司2015年公司债券,15赛轮债,赛轮金宇集团股份有限公司
112168.SZ,通信,通信设备,三维通信股份有限公司2012年公司债券,12三维债,三维通信股份有限公司
122418.SH,有色金属,稀有金属,盛和资源控股股份有限公司2015年公司债券,15盛和债,盛和资源控股股份有限公司
112138.SZ,商业贸易,专业零售,苏宁电器股份有限公司公开发行2012年公司债券,12苏宁01,苏宁云商集团股份有限公司
122037.SH,化工,化学原料,2009年唐山三友化工股份有限公司公司债券,09三友债,唐山三友化工股份有限公司
112055.SZ,机械设备,专用设备,徐工集团工程机械股份有限公司2011年公司债券(第一期),11徐工01,徐工集团工程机械股份有限公司
112121.SZ,轻工制造,造纸,浙江景兴纸业股份有限公司2012年公司债券,12景兴债,浙江景兴纸业股份有限公司
1082151.IB,交通运输,航运,中国远洋控股股份有限公司2010年度第一期中期票据,10中远MTN1,中国远洋控股股份有限公司
078019.IB,交通运输,航运,2007年中海集装箱运输股份有限公司公司债券,07中海集运债,中海集装箱运输股份有限公司
011698183.IB,机械设备,专用设备,中联重科股份有限公司2016年度第三期超短期融资券,16中联重科SCP003,中联重科股份有限公司
122059.SH,钢铁,钢铁Ⅱ,重庆钢铁股份有限公司2010年公司债券,10重钢债,重庆钢铁股份有限公司
122060.SH,轻工制造,造纸,2010年河南银鸽实业投资股份有限公司公司债券,10银鸽债,河南银鸽实业投资股份有限公司
101581003.IB,电气设备,电源设备,华西能源工业股份有限公司2015年度第一期中期票据,15华西能源MTN001,华西能源工业股份有限公司
041554060.IB,建筑装饰,专业工程,中国冶金科工股份有限公司2015年度第一期短期融资券,15中冶CP001,中国冶金科工股份有限公司
122135.SH,采掘,煤炭开采,2012年七台河宝泰隆煤化工股份有限公司公司债券,12宝泰隆,宝泰隆新材料股份有限公司
112053.SZ,机械设备,通用机械,成都市新筑路桥机械股份有限公司2011年公司债券,11新筑债,成都市新筑路桥机械股份有限公司
112033.SZ,机械设备,专用设备,2011年广西柳工机械股份有限公司公司债券(第一期)(品种二),11柳工02,广西柳工机械股份有限公司
101475001.IB,电气设备,高低压设备,中科英华高技术股份有限公司2014年度第一期中期票据,14英华MTN001,诺德投资股份有限公司
122326.SH,有色金属,稀有金属,广晟有色金属股份有限公司2014年公司债券,14广晟债,广晟有色金属股份有限公司
1182347.IB,建筑材料,水泥制造,新疆天山水泥股份有限公司2011年度第一期中期票据,11新天山MTN1,新疆天山水泥股份有限公司
101551060.IB,建筑装饰,装修装饰,江河创建集团股份有限公司2015年度第一期中期票据,15江河MTN001,江河创建集团股份有限公司
112422.SZ,交通运输,物流,深圳市飞马国际供应链股份有限公司2016年面向合格投资者公开发行公司债券,16飞马债,深圳市飞马国际供应链股份有限公司
136264.SH,电气设备,电源设备,西安隆基硅材料股份有限公司公开发行2016年公司债券(第一期),16隆基01,西安隆基硅材料股份有限公司
112129.SZ,化工,石油化工,辽宁华锦通达化工股份有限公司2012年公司债券,12华锦债,北方华锦化学工业股份有限公司
031664037.IB,有色金属,工业金属,河南中孚实业股份有限公司2016年度第一期非公开定向债务融资工具,16中孚PPN001,河南中孚实业股份有限公司
031390026.IB,有色金属,工业金属,广东东阳光铝业股份有限公司2013年度第一期非公开定向债务融资工具,13东阳光铝PPN001,广东东阳光科技控股股份有限公司
122100.SH,电气设备,电源设备,华仪电气股份有限公司2011年公司债券,11华仪债,华仪电气股份有限公司
011699959.IB,化工,化学原料,新疆中泰化学股份有限公司2016年度第一期超短期融资券,16新中泰SCP001,新疆中泰化学股份有限公司
041560099.IB,轻工制造,造纸,岳阳林纸股份有限公司2015年度第二期短期融资券,15岳纸CP002,岳阳林纸股份有限公司
101561010.IB,房地产,房地产开发,中华企业股份有限公司2015年度第一期中期票据,15中华企业MTN001,中华企业股份有限公司
101574009.IB,房地产,房地产开发,北京万通地产股份有限公司2015年度第一期中期票据,15京万通MTN001,北京万通地产股份有限公司
031564180.IB,电气设备,高低压设备,苏州电器科学研究院股份有限公司2015年度第一期非公开定向债务融资工具,15苏电科PPN001,苏州电器科学研究院股份有限公司
031490507.IB,采掘,煤炭开采,太原煤气化股份有限公司2014年度第一期非公开定向债务融资工具,14太煤气化PPN001,太原煤气化股份有限公司
122103.SH,机械设备,通用机械,中航重机股份有限公司2011年公司债券(品种一),11航机01,中航重机股份有限公司
118329.SZ,机械设备,通用机械,河南易成新能源股份有限公司2015年公司债券,15易成债,河南易成新能源股份有限公司
112071.SZ,电气设备,电气自动化设备,广州智光电气股份有限公司2011年公司债券,11智光债,广州智光电气股份有限公司
1282024.IB,机械设备,专用设备,太原重工股份有限公司2012年度第一期中期票据,12太重MTN1,太原重工股份有限公司
011698086.IB,农林牧渔,农产品加工,安琪酵母股份有限公司2016年度第一期超短期融资券,16安琪酵母SCP001,安琪酵母股份有限公司
101554019.IB,机械设备,专用设备,苏州天沃科技股份有限公司2015年度第一期中期票据,15天沃MTN001,苏州天沃科技股份有限公司
112146.SZ,纺织服装,服装家纺,希努尔男装股份有限公司2012年公司债券(第一期),12希努01,希努尔男装股份有限公司
122169.SH,采掘,煤炭开采,青海金瑞矿业发展股份有限公司2012年公司债券,12金瑞债,青海金瑞矿业发展股份有限公司
041654049.IB,化工,化学纤维,安徽皖维高新材料股份有限公司2016年度第一期短期融资券,16皖维高新CP001,安徽皖维高新材料股份有限公司
136419.SH,房地产,房地产开发,北京国华置业有限公司2016年公开发行公司债券(第一期),16国华01,北京国华置业有限公司
118850.SZ,非银金融,多元金融,中民国际融资租赁股份有限公司2016年非公开发行公司债券(第一期),16民租01,中民国际融资租赁股份有限公司
135829.SH,建筑装饰,基础建设,江苏金坛投资控股有限公司非公开发行2016年公司债券(第一期),16金投01,江苏金坛投资控股有限公司
136694.SH,采掘,煤炭开采,大同煤矿集团铁峰煤业有限公司2016年公开发行公司债券(第一期),16铁峰01,大同煤矿集团铁峰煤业有限公司
136696.SH,房地产,房地产开发,北京路劲隽御房地产开发有限公司公开发行2016年公司债券(第一期),16路劲01,北京路劲隽御房地产开发有限公司
031491084.IB,综合,综合Ⅱ,重庆万林投资发展有限公司2014年度第一期非公开定向债务融资工具,14重庆万林PPN001,重庆万林投资发展有限公司
125384.SH,休闲服务,景点,苏州阳澄湖生态休闲旅游有限公司2014年中小企业私募债券(第二期)一期,14阳澄01,苏州阳澄湖生态休闲旅游有限公司
031555015.IB,交通运输,高速公路,宁德市交通投资集团有限公司2015年度第一期非公开定向债务融资工具,15宁德交投PPN001,宁德市交通投资集团有限公司
135827.SH,农林牧渔,0,浏阳市广宇高科技农业有限公司非公开发行2016年公司债券,16浏广宇,浏阳市广宇高科技农业有限公司
136690.SH,轻工制造,0,恒安(中国)投资有限公司公开发行2016年公司债券(第一期),16恒安01,恒安(中国)投资有限公司
031558005.IB,非银金融,多元金融,鸿商产业控股集团有限公司2015年度第一期非公开定向债务融资工具,15鸿商控股PPN001,鸿商产业控股集团有限公司
139214.SH,建筑装饰,基础建设,2016年湘乡市经济开发区建设投资开发有限公司双创孵化专项债券,16湘乡投,湘乡市经济开发区建设投资开发有限公司
